"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_45038.mRNA1",520.887853156392,1.45477767096185,0.278953778139045,5.2105913123899,1.88239704348439e-07,9.7527833687274e-05
"Mlu_29108.mRNA1",42.9605755785229,2.71755799059115,0.509511020468289,5.1805219180039,2.21265925849658e-07,0.000112953001235576
"Mlu_01655.mRNA1",85.5364899501954,2.4703350876134,0.472458134497067,5.17745508095138,2.24933077121242e-07,0.000113160897189995
"Mlu_37936.mRNA1",1224.6287035583,2.68294733703107,0.60448165818288,5.16865719102564,2.35781929500057e-07,0.000116924258839078
"Mlu_33544.mRNA1",10.5281832600899,3.44743929550527,0.593900843575652,5.16137190422657,2.45146609430592e-07,0.000119855975396678
"Mlu_31787.mRNA1",5093.55017673396,1.35094188600842,0.264977614881327,5.10076373234653,3.38285639396098e-07,0.000163095963893844
"Mlu_07813.mRNA1",23.3542729517756,3.07760296676656,0.573335935016248,5.07093636821593,3.95863125637672e-07,0.000185697252435953
"Mlu_45336.mRNA1",557.269235872294,2.91642978092622,0.567361373678316,5.07292355615377,3.9174990206396e-07,0.000185697252435953
"Mlu_30682.mRNA1",1115.92123277594,-1.12031190292614,0.221238464345824,-5.06654877557813,4.0509298751529e-07,0.000187493238341577
"Mlu_18738.mRNA1",130.487438216296,-1.32501719294485,0.261666309717299,-5.0572759201007,4.2528769327399e-07,0.000191727424631429
"Mlu_45322.mRNA1",22.9783988340136,2.51027057415526,0.477414981658452,5.05965308031224,4.20019960630339e-07,0.000191727424631429
"Mlu_23568.mRNA1",103.547255380962,-1.67822184347241,0.332333203735389,-5.05401502359793,4.32617555182939e-07,0.000192531451193146
"Mlu_09781.mRNA1",421.898099584988,2.40378669942558,0.600219554267258,5.04345792059139,4.57193346131378e-07,0.000200893071193146
"Mlu_06476.mRNA1",995.422285385231,1.15885898790431,0.23037502571515,5.02921826830884,4.92483529374562e-07,0.00021369475943974
"Mlu_38562.mRNA1",65.9660152515941,1.83736275303405,0.362729546270471,5.02404733666728,5.059375830534e-07,0.000216822361981885
"Mlu_04589.mRNA1",968.827242970135,2.51396387465048,0.502385457990917,5.01957446699892,5.17860677315838e-07,0.000218038108653682
"Mlu_34629.mRNA1",2333.05197140873,-1.1609033236803,0.231346601582549,-5.01828912622106,5.21336761969741e-07,0.000218038108653682
"Mlu_00722.mRNA1",3315.50457974154,0.813576797255955,0.162362891322976,5.01053510635867,5.42788950200983e-07,0.000223713456798217
"Mlu_16361.mRNA1",61.8153858603587,2.44343040824676,0.484339334147521,5.00651595498048,5.54240696126716e-07,0.000223713456798217
"Mlu_17570.mRNA1",307.48226420941,1.1272416519519,0.22500235893801,5.007738575737,5.50732662379129e-07,0.000223713456798217
"Mlu_25903.mRNA1",284.946773218226,1.55082878434334,0.309552742675311,5.00380646893792,5.62091894257561e-07,0.000224274665808767
"Mlu_20386.mRNA1",164.944003580406,-1.11410639356367,0.223063341994752,-4.99442082278764,5.9012595303804e-07,0.000232784570543289
"Mlu_02179.mRNA1",274.377768070108,-1.05405022843128,0.210923891986683,-4.99174656823474,5.98357340701495e-07,0.000233379532222146
"Mlu_38125.mRNA1",18.3591286576123,3.17378996717517,0.572552821314311,4.98628412973738,6.15516071559471e-07,0.000237114653227793
"Mlu_46056.mRNA1",435.421979004821,-1.63682582362222,0.327295797761235,-4.98438401745879,6.21595178858906e-07,0.000237114653227793
"Mlu_36254.mRNA1",340.641593355355,1.09939130363406,0.221857514673353,4.95279490338314,7.31550682477386e-07,0.000276025204791712
"Mlu_26792.mRNA1",81.288146420058,2.17895172926145,0.432866507114207,4.94912144585163,7.45492214869812e-07,0.000278109333824867
"Mlu_28854.mRNA1",491.39537893112,-1.59548353355545,0.322105412286867,-4.94714530285216,7.53097611256229e-07,0.000278109333824867
"Mlu_18155.mRNA1",212.30865745609,2.300256552112,0.597822165416174,4.94354669281311,7.67139655838085e-07,0.000279657187792119
"Mlu_44664.mRNA1",1010.74314001157,0.97144719630928,0.196468833058258,4.94196233136432,7.7340160827481e-07,0.000279657187792119
"Mlu_34038.mRNA1",11252.0182488279,-1.35014696783615,0.274055758384661,-4.91924174543722,8.68801142432995e-07,0.0003109143717245
"Mlu_08122.mRNA1",1346.48679234165,2.76320144085881,0.604951255254551,4.90228333842253,9.47290693151429e-07,0.000335543896238424
"Mlu_40320.mRNA1",532.87183359191,-1.27989100096739,0.261207022091129,-4.8992101244152,9.62226969710966e-07,0.000337391765652291
"Mlu_28952.mRNA1",252.360827070629,1.43265957447788,0.293257868760456,4.88680968615824,1.02483071077606e-06,0.000355749484631693
"Mlu_02820.mRNA1",1249.74742936156,1.45767476744389,0.298492023694161,4.88243053482503,1.0478615834278e-06,0.00036014276381712
"Mlu_06147.mRNA1",445.235222970813,-0.998267756512431,0.205436981046325,-4.85911234888824,1.17913211568895e-06,0.000400809415244797
"Mlu_22038.mRNA1",1762.0903233049,0.989464759391948,0.203668210696149,4.85741578532464,1.18927692133247e-06,0.000400809415244797
"Mlu_14175.mRNA1",770.400457983431,0.988877527427017,0.203985874415385,4.84779943866813,1.24838515257161e-06,0.000412716131440174
"Mlu_27592.mRNA1",49.9476702214921,2.50080425670564,0.504952868010982,4.84789387879052,1.2477911541818e-06,0.000412716131440174
"Mlu_15034.mRNA1",28.1309687688399,2.19721826342705,0.445717597746229,4.83342198947228,1.34205883750395e-06,0.000433278513039035
"Mlu_22343.mRNA1",6640.95325394304,-0.879521112960704,0.181906251910409,-4.83459200313957,1.33418989178721e-06,0.000433278513039035
"Mlu_26119.mRNA1",121.892564391905,-1.5623976832751,0.323401361395822,-4.82894284548914,1.37259794447423e-06,0.000433278513039035
"Mlu_35755.mRNA1",32.4438193167207,2.08707645990125,0.429649560232535,4.83151093951702,1.35500771814393e-06,0.000433278513039035
"Mlu_40767.mRNA1",1030.81294016499,-0.815545539745547,0.168885410874525,-4.82888582403373,1.37299099571612e-06,0.000433278513039035
"Mlu_38762.mRNA1",921.947580368766,1.32501404013882,0.275901708121791,4.80527613481939,1.5453806685788e-06,0.000483286478814196
